marketplacefees
7.48
7.48
7.48
0
0
7.48
7.48
0
6.16
6.56
5.96
5.96
5.86
3.97
3.97
4.23
0
3.97
3.97
0
3.97
4.23
3.97
3.97
3.97
3.97
3.97
0
0
0
0
3.97
3.97
0
3.97
13.94
13.94
13.94
13.94
0
3.77
0
3.17
0
3.17
0
5.56
5.56
0
5.56
5.56
5.56
5.56
0
5.56
5.93
5.56
5.56
5.56
5.56
5.56
5.56
0
5.93
5.56
5.56
0
5.56
0
5.56
5.56
13.94
0
5.56
13.94
7.48
5.96
3.97
3.97
4.23
7.48
7.48
5.56
13.94
13.94
0
0
3.97
3.97
0
5.56
5.96
5.93
5.56
0
5.93
5.56
3.97
3.77
6.56
0
0
4.23
5.56
3.97
0
3.97
0
3.97
3.97
3.17
3.97
0
5.56
0
0
5.56
5.56
6.16
7.48
0
0
7.48
3.97
5.56
5.86
5.56
0
3.17
3.97
5.56
5.56
0
0
3.97
5.56
